39,0.65,11,8,0.7692,0.1795,0.0513,263.79,0.0,0.7692,0.0,2026-06-25T21:44:46.462591
79,1.32,12,11,0.8734,0.0886,0.038,367.53,0.0,0.8734,0.0253,2026-06-25T21:44:51.468005
98,1.63,14,14,0.8776,0.0714,0.051,350.38,0.0102,0.8673,0.0306,2026-06-25T21:44:56.479686
145,2.42,17,21,0.8276,0.1241,0.0483,343.41,0.0069,0.8966,0.0207,2026-06-25T21:45:01.483312
171,2.85,20,24,0.807,0.1462,0.0468,334.33,0.0058,0.9006,0.0175,2026-06-25T21:45:06.487524
301,5.02,23,32,0.8206,0.1462,0.0332,306.81,0.1262,0.8007,0.0432,2026-06-25T21:45:11.491924
386,6.43,26,35,0.8549,0.114,0.0311,372.95,0.0984,0.8394,0.0337,2026-06-25T21:45:16.502085
412,6.87,27,36,0.8325,0.1359,0.0316,375.67,0.0922,0.8471,0.0316,2026-06-25T21:45:21.507167
455,7.58,27,37,0.8154,0.1516,0.033,366.76,0.1121,0.8286,0.033,2026-06-25T21:45:26.517476
475,7.92,27,37,0.8105,0.1558,0.0337,366.32,0.1074,0.8337,0.0316,2026-06-25T21:45:31.596382
518,8.63,29,39,0.8243,0.1429,0.0328,365.97,0.0985,0.8456,0.0367,2026-06-25T21:45:36.654731
561,9.35,31,41,0.8307,0.1355,0.0339,375.65,0.0909,0.8503,0.0339,2026-06-25T21:45:41.672202
559,9.32,30,41,0.8426,0.1234,0.034,380.14,0.0912,0.8623,0.034,2026-06-25T21:45:46.677893
538,8.97,30,41,0.8364,0.1283,0.0353,370.2,0.0948,0.8569,0.0316,2026-06-25T21:45:51.686846
597,9.95,30,44,0.8409,0.129,0.0302,359.1,0.1139,0.8442,0.0335,2026-06-25T21:45:56.696333
572,9.53,30,44,0.8584,0.1101,0.0315,353.65,0.1189,0.8374,0.035,2026-06-25T21:46:01.704561
577,9.62,30,44,0.8527,0.1161,0.0312,360.05,0.1179,0.8406,0.0347,2026-06-25T21:46:06.720530
473,7.88,29,40,0.8626,0.1015,0.0359,379.82,0.0655,0.8943,0.0211,2026-06-25T21:46:11.731094
420,7.0,29,40,0.8452,0.1143,0.0405,319.6,0.0738,0.881,0.0238,2026-06-25T21:46:16.753175
414,6.9,29,40,0.8599,0.099,0.0411,316.62,0.0749,0.8792,0.0242,2026-06-25T21:46:21.771519
526,8.77,34,49,0.8916,0.076,0.0323,368.13,0.0361,0.9259,0.0418,2026-06-25T21:46:26.776753
708,11.8,35,51,0.9153,0.0607,0.024,436.37,0.0268,0.9435,0.0367,2026-06-25T21:46:31.833966
718,11.97,35,51,0.915,0.0613,0.0237,427.68,0.0265,0.9443,0.0334,2026-06-25T21:46:36.896536
729,12.15,31,48,0.9108,0.0658,0.0233,412.96,0.0261,0.9479,0.0357,2026-06-25T21:46:41.902549
